Tagsvideo,canal,Published,Description,monetized,abordagem,conteudo,objeto,suporte,publico-alvo,relevante
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, oratório, mdf, pintura, pintura de oratório, tinta acrílica, tinta chalck, tinta chalk, scrapbook",Iolane Caron,2022-07-01,['Neste vídeo você vai acompanhar o passo a passo de uma restauração de um Oratório antigo de madeira. Acompanhe as dicas e compartilhe!'],True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"IFCARTYTB2018, Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, toke e crie, restauração de vidro, pintar vidro, decoupage em vidro, multicolage acrilex, multicolage acrilex como usar, decoupage no vidro, pedrarias, como colar pedraria no vidro, tinta pva, metal colors acrilex como usar, metal colors acrilex dourado solar",Iolane Caron,2019-10-13,"['Hoje você vai aprender comigo a fazer a restauração completa de uma peça de vidro que já está com a pintura bem desgastada. Vamos transformar esse vidro em uma linda bandeja de decoração para o Natal', 'então acompanhe agora o processo de restauração desde o início até o resultado final! Compartilhe!  NÃO SE ESQUEÇA DE SE INSCREVER NO CANAL  artesanato acrilex iolanecaron E-mail de contato - Instagram - Facebook - Site']",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fundação Joaquim Nabuco,2021-10-14,"['O complexo trabalho de desmontagem e restauração do valioso altar-mor olindense', 'antes de seu envio para uma exposição no Museu Guggenheim de Nova Iorque.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Fundação Joaquim Nabuco,2021-10-13,"['Visão geral dos processos utilizados para restauração de peças antigas desenvolvidos pelo Laborarte/Fundaj. O resgate de um patrimônio inestimável', 'composto de bens culturais públicos e privados.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Iolane Caron, artesanato, acrilex, decoração, faça você mesmo, artes, arte, ateliê, fazer artesanato, tinta, mania de artesanato, artesanato é vida, passo a passo, feito a mão, mudar de vida, pintura artesanal, restauração, como restaurar uma peça de gesso, restauração de peças",Iolane Caron,2022-09-16,"['Você gosta de restauração de peças Então você vai gostar dessa novidade Estou restaurando essas 3 peças que recebi e quero compartilhar o processo com vocês. Se você quer saber mais e ver o resultado', 'é só me acompanhar no meu Instagram iolanecaron']",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Deum Laudamus Arte Sacra e Restauração,2014-10-03,"['O vídeo traz imagens de restaurações feitas do ano de 2011 á 2014 imagens de Paróquias', 'Capelas', 'Comunidades', 'Pastorais', 'Devoções Particulares e encomendas o vídeo contem musicas e efeitos para que de forma confortável você possa conferir nosso trabalho.<br>Se inscreva em nosso canal!<br> Curta Nossa Pagina facebook.com/ArteSacraeRestaucaoDeumLaudamus <br>Visitem também nosso Site phelipemelo15.wix.com/deumlaudamus e nosso Blog elipemelo15.blogspot.com.br']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"imaginária, restauro, Nossa Senhora das Dores, escultura, decapagem, ateliê, restauração, arte sacra, nossa senhora, sagrado, religious art, Artconservation","Ateliê, Arte e Restauração",2017-03-19,['Restauro de imaginária sacra - Nossa Senhora das Dores.<br><br>Para mais informações acesse nosso site e nossas redes sociais.<br><br> ateliearterestauracao.com.br <br> /instagram.com/ateliearterestauracao<br> www.facebook.com/Ateliearterestauracao/'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"pintura, restauro, conservação e restauro de pintura, paintings restoration, varnish cleaning",Diana CondeCR,2019-09-23,"['Pequeno vídeo da intervenção que fiz na pintura ""Regresso da Caçada"" de Pieter Van Der Werff. Música ""Mantra"" Dave Grohl', 'Josh Homme e Trent Reznor']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Jeff Przech, restauro, restauração, fineart, sutura, arte, pancetti, artrestoration, artconservation, conservação e restauro, restoration, painting","Ateliê, Arte e Restauração",2018-05-11,"['Trata-se de uma obra pequena há que se levar em conta forças físicas. Dito isso', 'sempre tentamos evitar o reentelamento. Porque o verso de uma obra tem muito a nos contar. Sempre. <br><br>Ateliê', 'Arte e Restauração. <br><br>Para mais informações', 'acesse nosso site e Instagram.<br><br>www.ateliearterestauracao.com.br<br><br>www.instagram.com/ateliearterestauracao <br><br>Música Tell me something de Jeff Przech está licenciada sob uma licença Creative Commons Attribution (creativecommons.org/licenses/by-sa/4.0/) - Artista https://www.jeffprzech.com artrestoration restauro']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"MPSC, FRBL, promotor de justiça, adolfo mello, teatro",ministeriopublicosc,2021-07-14,"['Depois de oito anos fechado por problemas estruturais', 'o Teatro Adolpho Mello', 'de São José', 'o mais antigo de Santa Catarina e o terceiro mais antigo do Brasil', 'com 167 anos de história', 'está pronto para ser novamente palco de espetáculos. O prédio foi recuperado por meio de um projeto de restauro aprovado e financiado pelo Fundo para Reconstituição de Bens Lesados (FRBL)', 'do Ministério Público de Santa Catarina (MPSC). Assista a entrevista da Promotora de Justiça Luciana Cardoso Pilati Polli', 'Coordenadora do Centro de Apoio do Meio Ambiente (CME) do MPSC.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Arte é Investimento,2020-01-20,"['O Arte é Investimento conversou com a professora e restauradora Josy Morais sobre a importância da documentação na restauração de obras de arte - qual é a importância da documentação na restauração de obras de arte - esse assunto tem a devida atenção - como organizar a documentação gráfica geralmente são quantas fichas A documentação gráfica é composta pelas fichas técnicas - qual a importância da documentação fotográfica<br><br> - é só pegar o celular e tirar foto- como os exames específicos são refletidos na documentação gráfica - a documentação gráfica é o contrato de prestação de serviços - pode-se abrir mão da documentação gráfica Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário  Links Núcleo de Artes', 'Conservação e Restauração Arte é Investimento - 1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 2019.<br><br>Responsável Jorge Priori;<br><br>Criação Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Arte é Investimento,2019-01-31,['Programa Arte é Investimento;<br>Data Mar/1989;<br>Apresentação Sergio Zobaran;<br>Produção Nelson Priori;<br>Resgate de Memória Jorge Priori.<br><br>Links<br>Teatro Municipal do Rio de Janeiro<br>www.theatromunicipal.rj.gov.br/<br><br> reliquiano.com/'],,,,,,,
"câmara dos deputados, congresso nacional, deputados federais, camara federal, invasão congresso, restauração, limpeza, destruição, vandalismo, obras de arte destruidas, obras de arte, violação, barbárie, guerra, salão verde, restauro, tecnico, preservação, cultura, gerenciamento de risco, brigadista, segurança, engenharia, peças danificadas, chefes de estado, sumbolismo, oficina de restauração",Câmara dos Deputados,2023-01-18,['Plano de gerenciamento de crise permitiu a equipes de restauração da Câmara salvarem obras de arte vandalizadas na invasão ao Congresso Nacional do dia 8 de janeiro.'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"O que é Kintsugi, O Kintsugi possui uma filosofia, O Kintsugi é arte ou artesanato, Quais são as técnicas do Kintsugi, Quanto tempo se demora para restaurar uma peça com o Kintsugi, Quais são as formas de se restaurar uma porcelana ou cerâmica, Como funciona a restauração de porcelanas com grampos, Quais são os materiais que se usa no Kintsugi, Restauração de vidros com Kintsugi",Arte é Investimento,2019-08-06,"['O Arte é Investimento conversou com o resturador Paulo Hatanaka sobre o Kintsugi', 'técnica japonesa de restauração de cerâmicas e pocerlanas que utiliza ouro no processo<br><br><br> - O que é Kintsugi;<br><br> - O Kintsugi possui uma filosofia<br><br> - O Kintsugi é arte ou artesanato<br><br> - Como você descobriu o Kintsugi<br><br> - As técnicas do Kintsugi Hibi', 'Kake e Yobitsugi;<br><br> - Quanto tempo se demora para resturar uma peça pelo Kintsugi;<br><br> - Quais são as outras formas de se restaurar uma cerâmica ou porcelana;<br><br> - Materiais utilizados;<br><br>- Adaptações do Kintsugi feitas por Paulo;<br><br> A restauração de cristais e vidros;<br><br> O que as pessoas buscam quando querem restaurar uma peça através do Kintsugi.<br><br><br>Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário <br><br><br>Paulo Hatanaka', 'Telefone 11-94155-3636;<br><br>Facebook<br>www.facebook.com/profile.phpid=100012733654990<br><br>Instagram<br>/www.instagram.com/hatanakapaulo/<br><br>Reliquiano<br>reliquiano.com/2017/10/03/paulo-hatanaka-restauracao-de-ceramicas-porcelanas-tecnica-japonesa-kintsugi/<br><br><br>Arte é Investimento', '2ª Fase<br><br>Apresentação e Produção Jorge Priori;<br><br>Edição Wanderlei Aureliano;<br><br>Captação Francisco Marengo;<br><br>Criação Nelson Priori.<br><br>kintsugi<br>kintsukuroi<br>hatanakapaulo<br>kintsugibrasil<br>porcelainrestoration<br>ceramicrestoration<br>cristalrestoration<br>restoration']",False,"T, é, c, n, i, c, a","Entrevista com restaurador, processos",,ceramica,"leigos, profissionais, iniciados","Engajamento, o próprio canal tem um viés bacana"
,Arte é Investimento,2020-06-16,"['O Arte é Investimento conversou com Azanate Rodrigues', 'responsável pelo atelier de restauração da Casa do Artesão de Brasília', 'sobre a consservação', 'preservação e restauração de molduras<br><br><br>  - a importância da moldura para uma pintura;<br><br>  - uma moldura pode ser dispensada<br><br>  - as molduras recebem a devida atenção <br><br>  - uma moldura pode ser tão valiosa quanto uma moldura <br><br>  - no que as molduras antigas diferem das contemporâneas <br><br>  - uma moldura antiga pode ser substituída por uma contemporânea <br><br>  - os problemas e tratamentos das molduras antigas', 'que em geral eram feitas de madeira <br><br> - uma moldura pode ser limpa <br><br>  - um algodão húmido pode ser usado na limpeza <br><br>  - a limpeza de uma moldura dourada (folha de ouro) <br><br>  - as consequências de uma limpeza mal feita  a sujeira vai para a pintura <br><br>  - como uma moldura pode ser conservada de forma a prolongar sua vida;<br><br>  - uma restauração pode alterar as características originais de uma moldura <br><br>  - a formação de um restaurador de molduras.<br><br><br>  Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário <br><br><br>Links <br>Casa do Artesão', 'Instagram <br> www.instagram.com/casa_do_artesao_brasil/<br><br>Casa do Artesão', 'Facebook<br>www.facebook.com/CASA-DO-ARTES%C3%83O-1402905699971562/<br><br><br>Arte é Investimento', '1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 2019.<br><br>Responsável Jorge Priori<br><br>Criação Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal, restauração e higienização, restauradores, preservação do acervo histórico, cultura, patrimônio histórico e cultural, museu da câmara, Muro Escultórico, Athos Bulcão, oscar niemeyer",Câmara dos Deputados,2023-01-26,"['A equipe responsável por preservar e restaurar obras de arte na Câmara dos Deputados está empenhada no processo de restauração e higienização do Muro escultórico (madeira laqueada', '250 x 1035 x 40 cm)', 'criado em 1976 pelo artista Athos Bulcão. A escultura', 'que faz parte do acervo do Museu da Câmara dos Deputados', 'foi uma das obras danificadas nos incidentes do último dia 8 de janeiro em Brasília.<br><br>Após a ampliação do Edifício Principal da Câmara', 'no início da década de 70', 'Oscar Niemeyer elaborou um projeto de decoração do Salão Verde e Salão Nobre', 'incluindo obras de arte e mobiliário', 'para atender à proposta de delimitar os espaços e valorizar os ambientes do Salão Verde. O “Muro escultórico” de Athos Bulcão foi elaborado especificamente para este fim', 'ele separa o Salão Verde da Galeria dos Presidentes da Câmara dos Deputados.']",False,"T, é, c, n, i, c, a","Processos, Cotidiano",patrimonializado,Madeira com Laca,"leigos, profissionais",Em conjunto com as outras comunicações sobre a obra
,Arte é Investimento,2020-08-18,"['O Arte é Investimento conversou sobre a conservação e restauração de móveis antigos dos estilos Colonial e Moderno com Ronaldo Rollete', 'restaurador de mobiliário colonial brasileiro', 'e Paulo Cícero', 'restaurador de mobiliário moderno brasileiro PARTE 1 - Mobiliário Colonial Brasileiro Conservação e Preservação<br><br> - o início do trabalho como restaurador<br><br> - as principais características do móvel colonial brasileiro na visão do restaurador<br><br> - vale a pena restaurar um móvel antigo muito danificado <br><br> - é correto deixar um móvel antigo como se fosse novo <br><br> - cera ou verniz <br><br> - os cuidados com um móvel restaurado;<br><br> - passar óleo de peroba em móveis antigos é bom ou ruim <br><br> - é correto modificar um móvel antigo  Isso pode desvalorizar o móvel <br><br> - é caro restaurar um móvel antigo <br><br> - por que restaurar um móvel antigo pode ser mais interessante que comprar um novo <br><br> - o perfil da pessoa que comprar e manda restaurar um móvel antigo;<br><br> - a restauração de um móvel antigo é demorada <br><br> - o que conversamos serve para outros tipos de móveis com as mesmas características do móvel colonial brasileiro <br><br><br>PARTE 2 - Móvel Moderno Brasileiro Conservação e Preservação<br><br> - o início do trabalho como restaurador<br><br> - as principais características do móvel moderno brasileiro na visão do restaurador<br><br> - vale a pena restaurar um móvel antigo <br><br> - é correto deixar um móvel antigo como se fosse novo <br><br> - cera ou vernil <br><br> - os cuidados com um móvel restaurado<br><br> - passar óleo de peroba em móveis antigos é bom ou ruim <br><br> - é correto modificar um móvel antigo  Isso pode desvalorizar o móvel <br><br> - é caro restaurar um móvel antigo <br><br>- por que restaurar um móvel antigo pode ser mais interessante que comprar um novo <br><br> - o perfil da pessoa que comprar e manda restaurar um móvel antigo;<br><br> - a restauração de um móvel antigo é demorada <br><br>- o que conversamos serve para outros tipos de móveis com as mesmas características do móvel moderno brasileiro <br><br>- esse mercado tem sofrido com falsificações <br><br><br> Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário <br><br><br><br>Contatos<br><br>Ronaldo Rollete', '21-99134-6633 e 21-2561-7449;<br><br>Paulo Cícero', '21-99294-9474.<br><br><br><br>Para quem quiser conhecer mais sobre esses emblemáticos mobiliários brasileiros', 'recomendamos as entrevistas a seguir relacionadas<br><br>Luiz Felipe Bruno Lobo', 'Móvel Colonial Brasileiro<br>youtu.be/Dddyo3RZNTY<br><br>Jayme Vargas', 'Móvel Moderno Brasileiro<br>youtu.be/we0J3r0XeyY<br><br><br><br>Você quer transformar sua tese de doutorado', 'dissertação de mestrado ou pesquisa institucional em um bate-papo aqui no canal  Entre em contato através do e-mail contato@arteeinvestimento.com.<br><br>As dissertações de mestrado e teses de doutorado deverão ter sido defendidas', 'homologadas e registradas nos repositórios das respectivas universidades/faculdades. Com relação às pesquisas institucionais', 'elas deverão ter sido feitas pela própria instituição e confirmadas com seus responsáveis.<br><br>As dissertações', 'teses e pesquisas serão escolhidas em conformidade com a pauta do canal.<br><br>Havendo alguma dúvida', 'elas deverão ser encaminhadas para o e-mail informado.<br><br><br><br><br>Arte é Investimento', '1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 2019<br><br>Responsável Jorge Priori<br><br>Criação Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Como conservar e preservar livros, Como conservar e preservar gravuras, Como conservar e preservar pinturas feitas sobre papel, Como conservar e preservar desenhos, Como conservar e preservar documentos, Como conservar e preservar papel, Ricardo Tagliapietra",Arte é Investimento,2019-10-03,"['O Arte é Investimento conversou com o restaurador Ricardo Tagliapietra sobre a preservação e restauração de obras que tem como suporte o papel', 'tais como gravuras', 'pinturas', 'desenhos', 'livros e documentos<br><br><br> - O início do trabalho como restaurador;<br><br> - É possível perder uma obra de arte que tem como suporte o papel por falta de cuidados <br><br> - A diferença de qualidade do papel feito atualmente comparado com o papel feito há 200', '<br>300 anos;<br><br> - A noção de qualidade do papel utilizado em obras de arte;<br><br> - Os principais problemas montagens inadequadas', 'manuseio e acidentes;<br><br> - Os critérios para definição do tratamento;<br><br> - É possível diagnosticar um problema com base em imagens enviadas por e-mail ou Whatsapp <br><br> - A diferença de tratamento entre gravuras', 'desenhos e pinturas x livros e documentos;<br><br> - Cuidados com a guarda de gravuras', 'desenhos e pinturas;<br><br> - Uma mapoteca pode ficar em qualquer local <br><br> - E quando uma pessoa não tem uma mapoteca  Deve-se guardar em um armário  Deve-se usar plástico <br><br> - Como guardar jornais;<br><br> - Livros é só colocar na estante <br><br>- Cuidados para se emoldurar obras;<br><br><br> Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário  <br><br><br>Ricardo Tagliapietra<br>Telefone 11-3865-1408<br>E-mail rtpietragmail.com.<br><br><br>Links<br><br>Ricardo Tagliapietra<br>reliquiano.com/2018/05/25/ricardo-tagliapietra-restauracao-de-obras-feitas-em-papel-pinturas-gravuras-desenhos-livros-e-documentos-sao-paulo-sp/<br><br>Exemplos de mapotecas<br><br><br><br>Arte é Investimento - 1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 2019.<br><br>Produção Jorge Priori;<br><br>Imagens Cristiano Fukuyama;<br><br>Criação Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Arte é Investimento,2020-03-26,"['O Arte é Investimento conversou com a restauradora Silvia Bazzoni sobre a conservação', 'preservação e restauração de pinturas:<br><br><br>  - os principais problemas que afetam uma pintura;<br><br>  - uma pintura escura e envelhecida pode ser recuperada <br><br>  - em geral', 'as pessoas são rápidas para providenciarem a restauração de uma pintura <br><br>  - uma restauração deve ficar evidenciada <br><br>  - a qualidade do material utilizado numa pintura influencia na longevidade e numa futura restauração <br><br>  - analisando algumas restaurações que estão sendo feitas pela Silvia;<br><br>  - como conservar e preservar uma pintura;<br><br>  - os cuidados analisados valem tanto para pinturas caras quanto para pinturas sem valor monetário', 'mas com valor pessoal/familiar <br><br>  - como a Silvia trata a documentação na restauração de uma pintura;<br><br>  - duas indicações de livros sobre restaurações <br><br><br> Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário  <br><br><br>Contato<br>Silvia Bazzoni', 'telefone 21-99524-7849 <br><br><br>Links <br>Entrevista da Silvia para o Arte é Investimento veiculada em junho de 1989 <br> youtu.be/s3dxkUTsTt8<br><br><br>Arte é Investimento', '1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 1989<br><br>Responsável  Jorge Priori <br><br>Criação  Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal, Muro Escultórico, athos bulcao, invasao a camara, terroristas, extremistas, 8 de janeiro de 2023, depredacao, vandalismo, obras de arte, restauracao",Câmara dos Deputados,2023-01-31,['Mais uma obra de arte danificada pelos extremistas durante a invasão e depredação da sede dos Três Poderes nos atos terroristas de 8 janeiro foi restaurada. O Muro Escultórico de Athos Bulcão já está de volta ao seu lugar no Salão Verde da Câmara dos Deputados.'],False,"T, é, c, n, i, c, a",Entrevista com restaurador,muro escultórico de Athos Bulcão,madeira e laca,leigos,"Recente, Aproveita a onda adas hardnews"
,Arte é Investimento,2020-04-15,"['O Arte é Investimento conversou com a professora e restauradora Titina Corso sobre a conservação', 'preservação e restauração de retábulos e oratórios', 'tema de um curso promovido pelo Museu de Arte Sacra de São Paulo <br><br><br> - o curso<br><br>   - o que é um retábulo<br><br>  - o que é um oratório;<br><br>  - do que eles são feitos <br><br>  - os oratórios e retábulos são todos iguais <br><br>  - aonde os retábulos e oratórios podem ser encontrados  (catolicismo', 'hinduísmo', 'umbanda', 'candomblé', 'etc);<br><br>  - retábulos e oratórios possuem elementos integrados <br><br>  como conservar e preservar um retábulo e um oratório e a análise da peça que será utilizada no curso <br><br><br>  Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário <br><br><br>Links <br>Museu de Arte Sacra de São Paulo<br> museuartesacra.org.br/<br><br>Cursos promovidos pelo Museu de Arte Sacra de São Paulo<br> museuartesacra.org.br/categoria/programacao/cursos/<br><br><br>Arte é Investimento', '1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 2019<br><br>Responsável Jorge Priori<br><br>Criação Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Arte é Investimento,2019-07-17,"['Em Jun/1989', 'Silvia Bazzoni conversou com o Arte é Investimento sobre a restauração e preservação de quadros', 'telas e pinturas. Também foram abordados temas como a formação de um restaurador', 'o mercado de restauração na época', 'os materiais e técnicas empregados pelos artistas nos quadros mais recentes e o exemplo de uma restauração numa imagem de Arte Sacra.<br><br><br>Programa Arte é Investimento;<br>Data Jun/1989;<br>Apresentação Soraia Cals;<br>Produção Nelson Priori;<br>Resgate de Memória Jorge Priori.<br><br><br>Links<br> /reliquiano.com/']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Arte é Investimento,2019-02-19,['Programa Arte é Investimento;<br>Data Jun/1989;<br>Apresentação Soraia Cals;<br>Produção Nelson Priori;<br>Resgate de Memória Jorge Priori.<br><br>Links reliquiano.com/'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
